pid=26249
webpack compiled successfully
 INFO  Accepting connections at http://localhost:3000
 HTTP  7/5/2024 2:11:14 PM 192.168.1.254 GET /
 HTTP  7/5/2024 2:11:14 PM 192.168.1.254 Returned 200 in 9 ms
 HTTP  7/5/2024 2:11:14 PM 192.168.1.254 GET /static/css/main.e804db85.css
 HTTP  7/5/2024 2:11:14 PM 192.168.1.254 GET /static/js/main.56eef524.js
 HTTP  7/5/2024 2:11:14 PM 192.168.1.254 Returned 200 in 9 ms
 HTTP  7/5/2024 2:11:14 PM 192.168.1.254 Returned 200 in 12 ms
 HTTP  7/5/2024 2:11:14 PM 211.231.103.94 GET /
 HTTP  7/5/2024 2:11:14 PM 211.231.103.94 GET /
 HTTP  7/5/2024 2:11:14 PM 211.231.103.94 Returned 200 in 3 ms
 HTTP  7/5/2024 2:11:14 PM 211.231.103.94 Returned 200 in 3 ms
 HTTP  7/5/2024 2:11:14 PM 27.0.238.186 GET /
 HTTP  7/5/2024 2:11:14 PM 27.0.238.186 Returned 200 in 2 ms
 HTTP  7/5/2024 2:11:14 PM 27.0.238.181 GET /
 HTTP  7/5/2024 2:11:14 PM 27.0.238.181 Returned 200 in 2 ms
 HTTP  7/5/2024 2:11:14 PM 27.0.238.117 GET /
 HTTP  7/5/2024 2:11:14 PM 27.0.238.117 Returned 200 in 2 ms
 HTTP  7/5/2024 2:11:14 PM 192.168.1.254 GET /favi.ico
 HTTP  7/5/2024 2:11:14 PM 192.168.1.254 Returned 200 in 4 ms
 HTTP  7/5/2024 2:11:15 PM 211.231.103.105 GET /
 HTTP  7/5/2024 2:11:15 PM 211.231.103.105 Returned 200 in 2 ms
 HTTP  7/5/2024 2:11:15 PM 211.249.243.52 GET /thumnail.png
 HTTP  7/5/2024 2:11:15 PM 211.249.243.52 Returned 200 in 6 ms
 HTTP  7/5/2024 2:11:15 PM 211.249.243.20 GET /thumnail.png
 HTTP  7/5/2024 2:11:15 PM 211.249.243.20 Returned 200 in 2 ms
 HTTP  7/5/2024 2:11:15 PM 121.53.204.106 GET /thumnail.png
 HTTP  7/5/2024 2:11:15 PM 121.53.204.106 Returned 200 in 3 ms
 HTTP  7/5/2024 2:11:15 PM 211.249.243.85 GET /thumnail.png
 HTTP  7/5/2024 2:11:15 PM 211.249.243.85 Returned 200 in 2 ms
 HTTP  7/5/2024 2:11:15 PM 211.249.243.85 GET /thumnail.png
 HTTP  7/5/2024 2:11:15 PM 211.249.243.85 Returned 200 in 1 ms
 HTTP  7/5/2024 2:11:16 PM 211.249.243.148 GET /thumnail.png
 HTTP  7/5/2024 2:11:16 PM 211.249.243.148 Returned 200 in 1 ms
 HTTP  7/5/2024 2:11:16 PM 121.53.204.60 GET /thumnail.png
 HTTP  7/5/2024 2:11:16 PM 121.53.204.60 Returned 200 in 2 ms
 HTTP  7/5/2024 2:11:17 PM 211.249.243.117 GET /thumnail.png
 HTTP  7/5/2024 2:11:17 PM 211.249.243.117 Returned 200 in 2 ms
 HTTP  7/5/2024 2:13:41 PM 192.168.1.254 GET /
 HTTP  7/5/2024 2:13:41 PM 192.168.1.254 Returned 304 in 2 ms
 HTTP  7/5/2024 2:13:41 PM 192.168.1.254 GET /static/css/main.e804db85.css
 HTTP  7/5/2024 2:13:41 PM 192.168.1.254 GET /static/js/main.56eef524.js
 HTTP  7/5/2024 2:13:41 PM 192.168.1.254 Returned 304 in 2 ms
 HTTP  7/5/2024 2:13:41 PM 192.168.1.254 Returned 304 in 2 ms
 HTTP  7/5/2024 2:13:41 PM 192.168.1.254 GET /favi.ico
 HTTP  7/5/2024 2:13:41 PM 192.168.1.254 Returned 304 in 2 ms
 HTTP  7/5/2024 2:15:09 PM 192.168.1.254 GET /
 HTTP  7/5/2024 2:15:09 PM 192.168.1.254 Returned 304 in 1 ms
 HTTP  7/5/2024 2:15:09 PM 192.168.1.254 GET /static/css/main.e804db85.css
 HTTP  7/5/2024 2:15:09 PM 192.168.1.254 Returned 304 in 1 ms
 HTTP  7/5/2024 2:15:09 PM 192.168.1.254 GET /static/js/main.56eef524.js
 HTTP  7/5/2024 2:15:09 PM 192.168.1.254 Returned 304 in 2 ms
 HTTP  7/5/2024 2:15:09 PM 192.168.1.254 GET /favi.ico
 HTTP  7/5/2024 2:15:09 PM 192.168.1.254 Returned 304 in 1 ms
 HTTP  7/5/2024 2:16:11 PM 192.168.1.254 GET /manifest.json
 HTTP  7/5/2024 2:16:11 PM 192.168.1.254 GET /static/css/main.e804db85.css
 HTTP  7/5/2024 2:16:11 PM 192.168.1.254 Returned 304 in 2 ms
 HTTP  7/5/2024 2:16:11 PM 192.168.1.254 Returned 200 in 4 ms
 HTTP  7/5/2024 2:16:12 PM 192.168.1.254 GET /static/js/main.56eef524.js.map
 HTTP  7/5/2024 2:16:12 PM 192.168.1.254 Returned 200 in 6 ms
 HTTP  7/5/2024 2:16:12 PM 192.168.1.254 GET /static/css/main.e804db85.css.map
 HTTP  7/5/2024 2:16:12 PM 192.168.1.254 Returned 200 in 3 ms
